iter	Passed	Remaining
133	1725	4713
134	1737	4697
135	1748	4680
136	1760	4664
137	1771	4647
138	1782	4630
139	1794	4613
140	1806	4598
141	1819	4586
142	1831	4571
143	1843	4556
144	1855	4543
145	1867	4527
146	1879	4513
147	1892	4500
148	1908	4494
149	1924	4489
150	1938	4480
151	1952	4471
152	1966	4459
153	1979	4447
154	1994	4438
155	2010	4433
156	2026	4426
157	2040	4416
158	2054	4406
159	2069	4397
160	2082	4385
161	2100	4381
162	2115	4374
163	2133	4371
164	2151	4367
165	2164	4355
166	2175	4338
167	2189	4327
168	2202	4314
169	2215	4299
170	2228	4287
171	2241	4275
172	2256	4266
173	2269	4252
174	2283	4239
175	2294	4224
176	2307	4210
177	2319	4195
178	2329	4178
179	2341	4161
180	2352	4145
181	2364	4131
182	2376	4116
183	2385	4096
184	2396	4080
185	2408	4065
186	2419	4050
187	2431	4035
188	2445	4023
189	2457	4009
190	2469	3995
191	2483	3984
192	2496	3970
193	2509	3957
194	2524	3947
195	2535	3932
196	2546	3917
197	2558	3902
198	2570	3888
199	2582	3873
200	2597	3864
201	2605	3844
202	2617	3829
203	2629	3815
204	2641	3801
205	2655	3789
206	2667	3776
207	2679	3760
208	2689	3744
209	2700	3729
210	2713	3716
211	2725	3702
212	2736	3687
213	2748	3673
214	2760	3659
215	2772	3645
216	2783	3630
217	2796	3617
218	2808	3603
219	2820	3589
220	2831	3575
221	2844	3561
222	2855	3546
223	2864	3529
224	2873	3511
225	2884	3496
226	2895	3482
227	2908	3469
228	2920	3456
229	2933	3443
230	2946	3431
231	2958	3417
232	2971	3404
233	2983	3391
234	2994	3377
235	3008	3365
236	3021	3352
237	3035	3341
238	3048	3329
239	3064	3320
240	3077	3306
241	3090	3294
242	3101	3279
243	3114	3267
244	3125	3253
245	3141	3243
246	3156	3233
247	3172	3223
248	3189	3214
249	3203	3203
250	3215	3190
251	3229	3177
252	3241	3165
253	3255	3152
254	3266	3138
255	3279	3125
256	3292	3113
257	3307	3102
258	3322	3091
259	3334	3078
260	3347	3064
261	3360	3052
262	3373	3039
263	3386	3026
264	3399	3014
265	3413	3002
266	3426	2990
267	3439	2977
268	3452	2964
269	3465	2952
270	3478	2939
271	3491	2926
272	3503	2912
273	3514	2899
274	3527	2886
275	3540	2873
276	3553	2860
277	3563	2845
278	3576	2832
279	3589	2820
280	3603	2808
281	3617	2796
282	3630	2784
283	3644	2771
284	3656	2758
285	3668	2744
286	3679	2730
287	3693	2718
288	3707	2706
289	3720	2694
290	3734	2682
291	3747	2669
292	3760	2656
293	3773	2644
294	3786	2631
295	3799	2618
296	3811	2605
297	3824	2592
298	3835	2578
299	3848	2565
300	3859	2551
301	3871	2538
302	3884	2525
303	3896	2512
304	3908	2498
305	3920	2485
306	3933	2472
307	3944	2459
308	3956	2445
309	3968	2432
310	3979	2418
311	3990	2404
312	4002	2391
313	4014	2378
314	4027	2365
315	4038	2351
316	4049	2337
317	4060	2323
318	4072	2310
319	4083	2296
320	4096	2284
321	4108	2270
322	4119	2257
323	4132	2244
324	4144	2231
325	4157	2218
326	4169	2205
327	4180	2192
328	4191	2178
329	4203	2165
330	4214	2151
331	4225	2138
332	4239	2125
333	4252	2113
334	4266	2101
335	4280	2089
336	4292	2076
337	4304	2063
338	4317	2050
339	4329	2037
340	4342	2024
341	4354	2011
342	4365	1998
343	4377	1985
344	4389	1972
345	4401	1959
346	4414	1946
347	4428	1934
348	4441	1921
349	4454	1909
350	4468	1896
351	4482	1884
352	4496	1872
353	4512	1860
354	4526	1848
355	4540	1836
356	4555	1824
357	4570	1813
358	4584	1800
359	4599	1788
360	4614	1776
361	4630	1765
362	4658	1758
363	4671	1745
364	4683	1732
365	4696	1719
366	4708	1706
367	4720	1693
368	4732	1679
369	4742	1666
370	4755	1653
371	4768	1640
372	4780	1627
373	4793	1614
374	4804	1601
375	4817	1588
376	4832	1576
377	4845	1563
378	4863	1552
379	4881	1541
380	4898	1529
381	4913	1517
382	4926	1504
383	4937	1491
384	4949	1478
385	4960	1464
386	4971	1451
387	4983	1438
388	4995	1425
389	5007	1412
390	5018	1399
391	5030	1385
392	5043	1373
393	5054	1359
394	5065	1346
395	5076	1333
396	5090	1320
397	5103	1307
398	5116	1295
399	5127	1281
400	5139	1268
401	5154	1256
402	5167	1243
403	5179	1230
404	5191	1217
405	5203	1204
406	5215	1191
407	5226	1178
